mr,ref
"inform(name[Stronghold 2], rating[average], genres[real-time strategy, simulation])",Stronghold 2 is a real-time strategy and simulation game that has an average rating.
"inform(name[Metal Gear Solid 3: Snake Eater], developer[Konami Computer Entertainment Japan], rating[excellent], genres[action-adventure, shooter, tactical], player_perspective[bird view, first person, third person], has_multiplayer[no], platforms[PlayStation])","An excellent action-adventure tactical shooter for PlayStation is Metal Gear Solid 3: Snake Eater, developed by Konami Computer Entertainment Japan. It allows the player to choose among bird view, and first or third person. It does not have multiplayer."
"inform(name[God of War], release_year[2018], developer[SIE Santa Monica Studio], rating[excellent], genres[action-adventure, platformer, role-playing], player_perspective[third person], has_multiplayer[no], platforms[PlayStation])","God of War is a third person, action-adventure role-playing platformer released on PlayStation in 2018. It was developed by SIE Santa Monica Studio and has excellent ratings. It has no multiplayer."
"inform(name[A Way Out], release_year[2018], esrb[M (for Mature)], genres[action-adventure], platforms[PlayStation, Xbox, PC], available_on_steam[no], has_linux_release[no], has_mac_release[no])","An M-rated action-adventure game released in 2018 is A Way Out. This game is available on PlayStation, Xbox, and PC, but don't excpect it to work on Linux or Mac, nor can you purchase it on Steam."
"inform(name[Horizon: Zero Dawn], release_year[2017], rating[excellent], genres[action-adventure, role-playing, shooter], player_perspective[third person], platforms[PlayStation])",Horizon: Zero Dawn is a third person action-adventure role-playing shooter that released in 2017 as a PlayStation exclusive. The game received excellent reviews from players.
"inform(name[Undertale], rating[excellent], genres[adventure, indie, role-playing], platforms[PlayStation, Nintendo Switch, PC], available_on_steam[yes], has_linux_release[yes], has_mac_release[yes])","Undertale is an excellent indie adventure role-playing game. It is availabe for PlayStation, Nintendo Switch, and PC, and was also released for Steam, Linux, and Mac."
"inform(name[Crysis], release_year[2007], developer[Crytek Frankfurt], rating[good], genres[action-adventure, shooter], player_perspective[first person])",Crysis is a pretty good first person shooter with a lot of action and adventure. It was developed by Crytek Frankfurt in 2007.
"inform(name[Small World 2], rating[poor], genres[indie, trivia/board game], has_multiplayer[yes])",Small World 2 is a poor indie trivia/board game that features multiplayer.
"inform(name[SpellForce 3], release_year[2017], developer[Grimlore Games], genres[real-time strategy, role-playing], player_perspective[bird view], has_multiplayer[yes])","SpellForce 3 is a real-time strategy, role-playing game released by Grimlore Games in 2017. It has a multiplayer mode and bird view player perspective."
"inform(name[Might & Magic: Heroes VI], release_year[2011], rating[average], genres[role-playing, turn-based strategy], player_perspective[bird view], has_multiplayer[yes])","Might & Magic: Heroes VI is a bird view, role-playing turn-based strategy game released in 2011. It has only an average rating, but has multiplayer."
"inform(name[Half-Life 2], release_year[2004], esrb[M (for Mature)], genres[shooter], has_multiplayer[no], platforms[PlayStation, Xbox, PC], has_linux_release[yes], has_mac_release[yes])","Half-Life 2 is an M-rated single-player shooter. It was released in 2004 on PlayStation, Xbox, and PC with both a Linux and Mac release."
"inform(name[Quantum Break], release_year[2016], developer[Remedy Entertainment], rating[average], genres[adventure, shooter], player_perspective[third person])","Quantum Break is considered an average third person shooter, an adventure game developed by Remedy Entertainment and released in 2016."
"inform(name[Tomb Raider: The Angel of Darkness], release_year[2003], genres[action-adventure, shooter], player_perspective[third person], platforms[PlayStation, PC], available_on_steam[yes])",Tomb Raider: The Angel of Darkness is a third person action-adventure shooter from 2003. You can play it on PlayStation or get it on Steam for PC.
"inform(name[Quantum Break], release_year[2016], esrb[M (for Mature)], genres[adventure, shooter])","Quantum Break is an adventure shooter that was released in the year 2016, and is rated M (for Mature)."
"inform(name[Little Big Adventure], release_year[1994], rating[average], genres[action-adventure], has_multiplayer[no])","Little Big Adventure is a decent action-adventure game. Sadly, it is not multiplayer and will be hard to find, since it came out in 1994."
"inform(name[Bus Driver], developer[SCS Software], genres[driving/racing, indie, simulation], has_multiplayer[no], platforms[PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])",Bus Driver is an indie driving simulator with no multiplayer in it. It was developed by SCS Software for PC and Steam. It has yet to see any Linux or Mac release.
"inform(name[The Crew 2], exp_release_date[June 29, 2018], developer[Ivory Tower], genres[driving/racing], player_perspective[third person], has_multiplayer[yes], platforms[PlayStation, Xbox, PC])","The Crew 2 by Ivory Tower is a multiplayer third person driving/racing game. It is expected to be released for PlayStation, Xbox, and PC on June 29, 2018."
"inform(name[Need for Speed: Payback], release_year[2017], rating[poor], genres[driving/racing], platforms[PlayStation, Xbox, PC], available_on_steam[no], has_linux_release[no], has_mac_release[no])","Need for Speed: Payback is a poorly-rated driving/racing game from 2017. It runs on PlayStation, Xbox, and PC. It is not out on Mac or Linux, and is not on Steam."
"inform(name[NBA 2K16], release_year[2015], rating[good], genres[sport], has_multiplayer[yes], platforms[PlayStation, Xbox, PC], available_on_steam[yes])","NBA 2K16 is a good sport game for the PlayStation, Xbox and PC. It was released in 2015 and is available on Steam. The game features a multiplayer mode."
"inform(name[FIFA 12], release_year[2011], rating[average], genres[simulation, sport], platforms[PlayStation, Xbox, Nintendo, PC], available_on_steam[no], has_linux_release[no], has_mac_release[yes])","FIFA 12 is your average sport simulation game, released in 2011 for the PlayStation, Xbox, Nintendo, and PC. While not available on Steam or Linux, it does have Mac support."
"inform(name[Assetto Corsa], esrb[E (for Everyone)], genres[driving/racing, simulation, sport], platforms[PlayStation, Xbox, PC], has_linux_release[yes], has_mac_release[no])","Assetto Corsa is a sport racing simulator that has been released on PlayStation, Xbox, and PC, including the Linux processor but not the Mac. It is rated E (for Everyone)."
"inform(name[Never Alone], release_year[2014], developer[Upper One Games], esrb[T (for Teen)], rating[average], genres[adventure, indie, platformer], player_perspective[side view], has_multiplayer[yes])",Never Alone from Upper One Games was made in 2014. It's rated T (for Teen) and has average reviews. This indie adventure platformer game has side view and multiplayer.
"inform(name[Metroid Prime Pinball], esrb[E (for Everyone)], genres[pinball, puzzle])",Metroid Prime Pinball is a pinball puzzle game rated E (for Everyone).
"inform(name[Commandos: Behind Enemy Lines], rating[good], genres[strategy, tactical], has_multiplayer[yes])","If you are into tactical strategy games, you should look into Commandos: Behind Enemy Lines. It got a good rating and even has multiplayer."
"inform(name[The Witcher 3: Wild Hunt], rating[excellent], genres[action-adventure, role-playing], player_perspective[third person], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","The Witcher 3: Wild Hunt is a third person action-adventure role-playing game for PlayStation, Xbox, and PC via Steam. It's not available on Linux or Mac. It has received excellent reviews since its launch."
"inform(name[Ori and the Blind Forest], release_year[2015], rating[excellent], genres[adventure, platformer, puzzle], player_perspective[side view], platforms[Xbox, PC], available_on_steam[yes])",Ori and the Blind Forest is an excellent side view adventure puzzle platformer. This 2015 game is on Xbox and PC through Steam.
"inform(name[Quantum Break], release_year[2016], esrb[M (for Mature)], genres[adventure, shooter], player_perspective[third person], has_multiplayer[no])","Quantum Break is an adventure shooter that is played from the third person's perspective and is rated M (for Mature). This game came out in 2016, and you cannot play multiplayer with it."
"inform(name[World of Warcraft], release_year[2004], rating[good], genres[adventure, MMORPG], player_perspective[third person], platforms[PC], has_linux_release[no], has_mac_release[yes])","World of Warcraft is a good third person adventure MMORPG released in 2004 for the PC and Mac. If you are looking to run this on Linux, you are out of luck."
"inform(name[Metro 2033], rating[good], genres[action, role-playing, shooter], player_perspective[first person], has_multiplayer[no])","I've heard about Metro 2033 recently, an action first person shooter with good ratings, where you get to role-play too. It's single-player, which is no problem for me."
"inform(name[NBA 2K16], release_year[2015], developer[Visual Concepts], esrb[E 10+ (for Everyone 10 and Older)], rating[good], genres[sport], player_perspective[third person], has_multiplayer[yes])",NBA 2K16 is a third person sports game created by Visual Concepts that came out in 2015. It has good ratings and includes a multiplayer option. It has a ESRB rating of E 10+.
"inform(name[Spider-Man], exp_release_date[September 7, 2018], genres[action-adventure], player_perspective[third person], platforms[PlayStation])","On September 7, 2018, the new third person action-adventure game, Spider-Man, is being released. It will be available on PlayStation only."
"inform(name[Dance Dance Revolution Universe 3], developer[Konami], rating[poor], genres[music], platforms[Xbox])","If you like music games, then you should try the Xbox video game created by Konami called Dance Dance Revolution Universe 3. Note, however, that it has rather poor ratings."
"inform(name[The Vanishing of Ethan Carter], release_year[2014], rating[average], genres[adventure, indie])","The 2014 indie game, The Vanishing of Ethan Carter, is a decent adventure game."
"inform(name[Super Mario World], release_year[1990], developer[Nintendo EAD], esrb[E (for Everyone)], genres[platformer], player_perspective[side view], has_multiplayer[yes], platforms[Nintendo])","Nintendo's platformer Super Mario World, which was released back in 1990, is still a good choice for everyone according to the entertainment rating board. Developed by Nintendo EAD, the game offers a side view perspective and multiplayer features."
"inform(name[Metroid Prime Pinball], developer[Fuse Games], genres[pinball, puzzle], platforms[Nintendo])",Metroid Prime Pinball is a Nintendo pinball puzzle game from Fuse Games.
"inform(name[Call of Duty: Advanced Warfare], rating[average], genres[action, shooter], player_perspective[first person], platforms[PlayStation, Xbox, PC], available_on_steam[yes])","Call of Duty: Advanced Warfare is an action FPS that released to average reviews on PlayStation, Xbox, and PC. It's available on Steam."
"inform(name[The Forest of Doom], rating[average], genres[role-playing, text adventure], platforms[PC], has_linux_release[yes], has_mac_release[yes])","The Forest of Doom is an average game for the PC, Linux, and Mac. It's a role-playing, text adventure game."
"inform(name[The Elder Scrolls V: Skyrim], genres[adventure, role-playing], platforms[PlayStation, Xbox, Nintendo, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","For a role-playing adventure, try The Elder Scrolls V: Skyrim. It is available on PlayStation, Xbox, Nintendo, and PC, and can be downloaded on Steam. There is no Mac or Linux release, however."
"inform(name[Outlast II], release_year[2017], rating[average], genres[adventure, indie], has_multiplayer[no], platforms[PlayStation, Xbox, Nintendo Switch, PC], has_linux_release[no], has_mac_release[yes])","Outlast II is an indie adventure game released in 2017 and with an average user rating. It can be played on PlayStation, Xbox, Nintendo Switch and PC. It is a single-player game that has been released on Mac, but not Linux."
"inform(name[Undertale], release_year[2015], rating[excellent], genres[adventure, indie, role-playing], has_multiplayer[no], platforms[PlayStation, Nintendo Switch, PC], has_linux_release[yes], has_mac_release[yes])","Undertale from 2015 is an excellent indie adventure role-playing game, but it doesn't have multiplayer. It can be played on PlayStation, Nintendo Switch, PC, Linux, or Mac."
"inform(name[Assassin's Creed II], rating[good], genres[action-adventure, platformer], has_multiplayer[no], platforms[PlayStation, Xbox, PC], has_linux_release[no], has_mac_release[yes])","Assassin's Creed II is an action-adventure game released for PlayStation, Xbox, and PC. The single-player experience was released for Mac but does not offer a Linux release. Critical reception was good for the platformer."
"inform(name[Sid Meier's Civilization V], esrb[E 10+ (for Everyone 10 and Older)], rating[good], genres[simulation, turn-based strategy], has_multiplayer[yes])","You have to try this game, Sid Meier's Civilization V. It's a really good turn-based simulation strategy game. It has multiplayer and it is rated E 10+ (for Everyone 10 and Older)."
"inform(name[Need for Speed: The Run], release_year[2011], developer[Firebrand Games], esrb[T (for Teen)], rating[average], genres[driving/racing], has_multiplayer[yes])","Need for Speed: The Run is an average driving game from 2011 made by Firebrand Games. It only has a teen rating, but the best part is the multiplayer so you can race against your friends."
"inform(name[Rocket League], esrb[E (for Everyone)], genres[sport, vehicular combat], has_multiplayer[yes], platforms[PlayStation, Xbox, Nintendo Switch, PC], available_on_steam[yes], has_linux_release[yes], has_mac_release[yes])","Try Rocket League, it's a multiplayer vehicular combat sports game with an E (for Everyone) rating. It's available on PlayStation, Xbox, Nintendo Switch, and PC trough Steam. There are also Linux and Mac releases."
"inform(name[Super Mario World], release_year[1990], genres[platformer], player_perspective[side view], has_multiplayer[yes])",Super Mario World is a side view platformer that features multiplayer and came out in 1990.
"inform(name[Never Alone], release_year[2014], genres[adventure, indie, platformer])",Never Alone is an indie adventure platformer from 2014.
"inform(name[Tomb Raider: The Last Revelation], rating[good], genres[action-adventure, puzzle, shooter], platforms[PlayStation, PC], available_on_steam[yes])",Tomb Raider: The Last Revelation is a good action-adventure game that is on PlayStation and PC only. This puzzle shooter is also on Steam.
"inform(name[Undertale], release_year[2015], esrb[E (for Everyone)], rating[excellent], genres[adventure, indie, role-playing], player_perspective[bird view])",Undertale is an excellent indie adventure game that came out in 2015 and is rated E (for Everyone). This role-playing game has a bird view perspective.
"inform(name[A Way Out], rating[good], genres[action-adventure], player_perspective[third person], platforms[PlayStation, Xbox, PC], available_on_steam[no], has_linux_release[no], has_mac_release[no])","A Way Out is a fun third person action-adventure game for PlayStation, Xbox, and PC, but it is not supported on Mac or Linux. It is not available on Steam."
"inform(name[Rocket League], genres[sport, vehicular combat], platforms[PlayStation, Xbox, Nintendo Switch, PC], available_on_steam[yes], has_linux_release[yes], has_mac_release[yes])","Rocket League is a vehicular combat and sport game with a wide release on multiple platforms. It is available on PlayStation, Xbox, Nintendo Switch, and PC, with Linux, Mac, and Steam support."
"inform(name[Dance Dance Revolution Universe 3], developer[Konami], esrb[E (for Everyone)], rating[poor], genres[music], platforms[Xbox])","Dance Dance Revolution Universe 3, developed by Konami, is a music game available exclusively on Xbox, with an overall poor rating. It is appropriate for all age groups."
"inform(name[Transport Tycoon], release_year[1994], developer[Chris Sawyer], genres[simulation, strategy], player_perspective[bird view])","Transport Tycoon, by developer Chris Sawyer, is a simulation strategy game from a bird view perspective. It was released in 1994."
"inform(name[The Last of Us], release_year[2013], rating[excellent], genres[action-adventure, shooter], player_perspective[third person], has_multiplayer[yes])",The Last of Us is a great multiplayer third person shooter game with a lot of action and adventure. It was released in 2013.
"inform(name[Euro Truck Simulator], release_year[2008], developer[SCS Software], rating[poor], genres[driving/racing, simulation], player_perspective[first person])",A rather poorly-rated game from 2008 is SCS Software's Euro Truck Simulator. You can only play this driving simulation game in first person.
"inform(name[Hitman 2], exp_release_date[November 13, 2018], genres[shooter, tactical], player_perspective[third person], platforms[PlayStation, Xbox, PC])","I'm excited about the release of Hitman 2 on November 13, 2018. What's not to love about sneaking around in third person, shooting enemies, while tactically completing your objective? I prefer Xbox, but PC and PlayStation will do just fine too."
"inform(name[Ori and the Blind Forest], release_year[2015], developer[Moon Studios], genres[adventure, platformer, puzzle], player_perspective[side view], has_multiplayer[no], platforms[Xbox, PC], available_on_steam[yes])","Ori and the Blind Forest from Moon Studios came out in 2015. It has no multiplayer, but is a side view adventure puzzle platformer on Xbox and PC through Steam."
"inform(name[NBA 2K16], rating[good], genres[sport])","If you are looking for a sports game with good ratings, you should check out NBA 2K16."
"inform(name[Need for Speed: The Run], esrb[T (for Teen)], genres[driving/racing], player_perspective[first person, third person])",Need for Speed: The Run was released with a T (for Teen) rating. It is a driving/racing game that offers a first person and third person mode.
"inform(name[Resident Evil 4], release_year[2005], rating[excellent], genres[action-adventure, shooter], player_perspective[third person])","Resident Evil 4 from 2005 is an excellent, dark, action-adventure shooter. Its use of third person point of view makes the game fun."
"inform(name[The Last of Us], developer[Naughty Dog], esrb[M (for Mature)], rating[excellent], genres[action-adventure, shooter])",The Last of Us is an action-adventure shooter that has received excellent ratings. It was developed by Naughty Dog and is rated M (for Mature).
"inform(name[The Wolf Among Us], release_year[2013], esrb[M (for Mature)], rating[good], genres[adventure, point-and-click], player_perspective[third person], has_multiplayer[no])","The Wolf Among Us, a third person point-and-click adventure game, is for any mature gamer in single-player mode. From 2013 to present, it has continued to receive good reviews and will probably continue being enjoyed for many more years."
"inform(name[A Way Out], release_year[2018], esrb[M (for Mature)], genres[action-adventure], platforms[PlayStation, Xbox, PC], available_on_steam[no], has_linux_release[no], has_mac_release[no])","A Way Out is an action-adventure game for PlayStation, Xbox, and PC. It is not available on Steam, and it is not supported on Mac or Linux. It came out in 2018 and is rated M (for Mature)."
"recommend(name[RollerCoaster Tycoon], developer[MicroProse], platforms[PC])","Since you play on your PC, I wonder if you've thought about trying the MicroProse game RollerCoaster Tycoon?"
"recommend(name[The Witcher 3: Wild Hunt], developer[CD Projekt RED])",The best game I know developed by CD Projekt RED is The Witcher 3: Wild Hunt. Have you ever played it?
"recommend(name[The Wolf Among Us], has_multiplayer[no], platforms[PC])","One of my favorite single-player PC games is The Wolf Among Us, do you know about it?"
"recommend(name[The Wolf Among Us], esrb[M (for Mature)], platforms[PC])","I know you enjoy M rated games you can play on your PC, have you heard of The Wolf Among Us?"
"recommend(name[Resident Evil 4], developer[Capcom Production Studio 4], platforms[Nintendo])","Since you seem to be a fan of Capcom Production Studio 4 games developed for the Nintendo, have you heard of Resident Evil 4?"
"recommend(name[Assetto Corsa], genres[driving/racing, simulation, sport], player_perspective[first person])",A first person sport racing sim that I enjoyed was Assetto Corsa. Have you played it?
"recommend(name[Outlast II], release_year[2017], player_perspective[first person])","Do you like first person games? If so, I think you'd like 2017's Outlast II."
"recommend(name[The Wolf Among Us], esrb[M (for Mature)], platforms[PC])","It's on PC and rated M (for Mature), seems right down your alley. Are you familiar with The Wolf Among Us?"
"recommend(name[Undertale], developer[tobyfox], genres[adventure, indie, role-playing])",Undertale is an indie adventure RPG from tobyfox. Have you ever played it?
"recommend(name[Resident Evil 4], esrb[M (for Mature)], has_multiplayer[no])",One of my favorite single-player games that got an M rating was Resident Evil 4. Have you ever played it?
"recommend(name[Resident Evil 4], genres[action-adventure, shooter], platforms[Nintendo])",Have you ever tried the Nintendo action-adventure shooting game Resident Evil 4?
"recommend(name[Portal 2], developer[Valve Corporation], has_multiplayer[yes])",My favorite multiplayer game from Valve Corporation is actually Portal 2. Are you familiar with it?
"recommend(name[Sid Meier's Civilization V], developer[Firaxis Games])","You seem to be a fan of Firaxis Games titles, so have you played Sid Meier's Civilization V?"
"recommend(name[Call of Duty: Advanced Warfare], developer[Sledgehammer Games], player_perspective[first person])","Speaking of Sledgehammer Games' first person releases, have you tried Call of Duty: Advanced Warfare?"
"recommend(name[Transport Tycoon], genres[simulation, strategy])","On the topic of simulation strategy games, have you tried Transport Tycoon?"
"recommend(name[The Witcher 3: Wild Hunt], developer[CD Projekt RED])","Since you like games by CD Projekt RED, I'm wondering if you've played The Witcher 3: Wild Hunt."
"recommend(name[Super Mario World], release_year[1990], developer[Nintendo EAD])",Super Mario World was released by Nintendo EAD in 1990. Did you play it back then?
"recommend(name[The Wolf Among Us], available_on_steam[yes])","I know there's a lot of good games on Steam, but The Wolf Among Us comes to my mind right now. Have you given it a shot?"
"recommend(name[Undertale], esrb[E (for Everyone)], available_on_steam[yes])","If you're looking for a solid E rated game on Steam, Undertale might pique your interest. Have you ever heard of it?"
"recommend(name[The Wolf Among Us], player_perspective[third person])","Speaking of third person perspective games, have you played The Wolf Among Us?"
"recommend(name[Super Mario World], esrb[E (for Everyone)], has_multiplayer[yes])","Since you like playing multiplayer games rated E (for Everyone), have you ever tried Super Mario World?"
"recommend(name[Call of Duty: Advanced Warfare], developer[Sledgehammer Games], has_multiplayer[yes])","Have you heard of Call of Duty: Advanced Warfare? Sledgehammer Games made it, it's a pretty fun multiplayer game."
"recommend(name[Sid Meier's Civilization V], available_on_steam[yes])",I know you got some Steam credits for your birthday. Have you tried Sid Meier's Civilization V yet?
"recommend(name[Assetto Corsa], developer[Kunos Simulazioni], esrb[E (for Everyone)])",A game developed by Kunos Simulazioni rated E (for Everyone) that I enjoyed was Assetto Corsa. Have you played it?
"recommend(name[Resident Evil 4], genres[action-adventure, shooter], platforms[Nintendo])","Speaking of Nintendo action-adventure shooter games, have you heard of Resident Evil 4?"
"recommend(name[NBA 2K16], player_perspective[third person])","Since you're into third person games, I bet you'd love NBA 2K16. Do you know anything about it?"
"recommend(name[NBA 2K16], has_multiplayer[yes])",Have you tried playing the multiplayer game NBA 2K16? You can play with your friends.
"recommend(name[Super Mario World], developer[Nintendo EAD], has_multiplayer[yes])",Do you know of Super Mario World? It's this great multiplayer game from Nintendo EAD.
"recommend(name[RollerCoaster Tycoon], genres[simulation, strategy], platforms[PC])",I know you game on a PC. Have you ever heard about the simulation strategy game RollerCoaster Tycoon?
"recommend(name[Assetto Corsa], developer[Kunos Simulazioni], player_perspective[first person])","While we're on the subject of first person games made by Kunos Simulazioni, have you ever played Assetto Corsa?"
"recommend(name[Stronghold 2], esrb[T (for Teen)], genres[real-time strategy, simulation])","A Teen-rated real-time strategy, sim that I enjoyed was Stronghold 2. Have you played it?"
"recommend(name[Outlast II], release_year[2017], developer[Red Barrels])","Since you're into newer games from 2017, have you heard of Outlast II by Red Barrels?"
"request(player_perspective[first person], specifier[exhilarating])","I'm looking for a game from a first person perspective that is really exhilarating, is there one you would recommend to me?"
"request(genres[sport], specifier[in-depth])",Are there any in-depth sports games that you've played lately?
request(specifier[surprising]),What's a game whose quality you found surprising?
"request(has_multiplayer[no], specifier[epic])",What's one epic single-player game you can think of?
"request(platforms[Xbox], specifier[easiest])",What's the easiest game you know of on Xbox?
"request(release_year[2009], specifier[other])",What other game from 2009 have you enjoyed?
"request(available_on_steam[yes], specifier[cheap])",What's a cheap game I can get on Steam right now?
"request(release_year[2014], specifier[disappointing])",Did you find any games in 2014 disappointing?
request(specifier[limiting]),What game have you played with a limiting storyline?
"request(developer[Hazelight Studios], specifier[classic])",What do you think is the most classic game made by Hazelight Studios?
request(specifier[last]),What is the last game you played?
request(specifier[worst looking]),What's the worst looking game you've played recently?
"request(esrb[E 10+ (for Everyone 10 and Older)], specifier[frightening])",Are there any E 10+ rated frightening games?
"request(developer[Valve Corporation], specifier[funny])",Do you know of a funny game developed by Valve Corporation?
request(specifier[cheap]),Have you played any cheap games that you enjoyed?
request(specifier[rewarding]),Is their a video game you know of that felt very rewarding to play?
"request(release_year[2011], specifier[best looking])",What would you say is the best looking game that came out in 2011?
"request(available_on_steam[yes], specifier[cheap])",What cheap game that's on Steam right now would you suggest?
"request(genres[text adventure], specifier[immersive])",Is the a text adventure game you know of that you thought was immersive?
request(specifier[cheap]),What good cheap games have just come out?
"request(genres[driving/racing], specifier[complicated])",What would you say is a good example of a complicated driving/racing game?
"request(platforms[PC], specifier[quirky])",Do you know of any quirky PC games?
request(specifier[bizarre]),Have you ever encountered a video game that struck you as plain bizarre?
"request(release_year[2009], specifier[other])",So what other game from 2009 did you want to talk about?
request(specifier[oldest]),What's the oldest video game you ever played?
request(specifier[quick-to-learn]),Do you know of any quick-to-learn games?
request(specifier[unfair]),What's a game you found rather unfair recently?
request(specifier[cheerful]),Is there a nice cheerful game you can remember playing?
"request(available_on_steam[yes], specifier[challenging])",What's a good challenging game you know of that's available on Steam?
"request(esrb[M (for Mature)], specifier[gritty])",Have you played any gritty M rated games lately?
"request(developer[Red Entertainment Corporation], specifier[newest])",Do you know what the newest game that Red Entertainment Corporation made is?
"request(genres[driving/racing], specifier[complicated])",Are there any complicated driving/racing games you know of? I'd love to try one out.
"request(platforms[PlayStation], specifier[weirdest])",So what's the weirdest game you got for the PlayStation?
request_attribute(has_linux_release[]),Is Linux your OS for gaming?
request_attribute(platforms[]),"I'm curious, do you mostly game on a single platform?"
request_attribute(available_on_steam[]),Do you mostly play games on Steam?
request_attribute(developer[]),Who are your favorite video game developers?
request_attribute(player_perspective[]),What player perspective type do you like most?
request_attribute(has_linux_release[]),Do you have any experience with gaming on a Linux system?
request_attribute(player_perspective[]),Do you prefer any specific player perspective over the others when you play games?
request_attribute(developer[]),Is there a specific video game developer you prefer?
request_attribute(release_year[]),Which year do you think was the best for games?
"request_explanation(release_year[2004], esrb[M (for Mature)], rating[excellent])",What do you think makes M rated games from 2004 so great?
"request_explanation(developer[Telltale Games], rating[good])",What is it about Telltale Games' that you think are good?
"request_explanation(esrb[M (for Mature)], rating[excellent])",Why do you love M rated games so much?
"request_explanation(rating[average], platforms[PlayStation])",So what is it about PlayStation games that causes you to find them so average?
"request_explanation(developer[Blizzard North], rating[good], has_mac_release[yes])",What is it about the Blizzard North games that have gotten a Mac release that you find enjoyable?
"request_explanation(rating[poor], player_perspective[bird view], has_multiplayer[yes])",Why do you not like multiplayer games with a bird view perspective?
"request_explanation(rating[excellent], has_linux_release[no], has_mac_release[no])",Why do you think the games that have neither a Linux nor a Mac release tend to be so superior?
"request_explanation(developer[Blizzard North], rating[good], has_mac_release[yes])",What do you enjoy about Blizzard North's Mac games?
"request_explanation(esrb[T (for Teen)], rating[excellent], has_multiplayer[no])",What do you find so amazing about T rated single-player games?
"request_explanation(developer[Valve Corporation], rating[excellent], has_multiplayer[no])",What is it about single-player games made by Valve Corporation that you find so attractive?
"request_explanation(rating[poor], has_multiplayer[no], platforms[PC])",Why is it that you don't like single-player only PC games?
"request_explanation(rating[excellent], genres[action-adventure, shooter])",So why are action-adventure shooters some of your favorite games?
"request_explanation(esrb[E 10+ (for Everyone 10 and Older)], rating[good], has_mac_release[yes])",What do you like about E 10+ games released on Mac?
"request_explanation(rating[good], genres[adventure, point-and-click])",Why do you enjoy point and click adventure games so much?
"request_explanation(esrb[M (for Mature)], rating[excellent])",What is it about M rated games that you find so excellent?
"request_explanation(rating[good], player_perspective[third person], has_multiplayer[no])",How is the third person perspective enjoyable in single-player games?
"request_explanation(developer[Codemasters Southam], rating[average], platforms[PlayStation])",What is it about Codemasters Southam's PlayStation games that makes you say they're just average?
"request_explanation(rating[average], has_linux_release[no], has_mac_release[no])",Why do you feel unenthusiastic about games without a Mac or Linux release?
"request_explanation(release_year[2010], developer[Firaxis Games], rating[good])",What do you enjoy about Firaxis Games' 2010 catalog?
"request_explanation(rating[excellent], platforms[PC])",Why do you love playing games on the PC more than any other platforms?
"request_explanation(developer[Tarsier Studios], rating[good])",What do you enjoy about Tarsier Studios' games?
"request_explanation(rating[good], genres[adventure, platformer, puzzle])","I'm curious, what is it about adventure puzzle platformers that you enjoy?"
"request_explanation(rating[good], has_multiplayer[yes])",You like multiplayer games quite a bit. Can you tell me why that is?
"request_explanation(rating[good], player_perspective[third person])",What do you like about third person games?
"request_explanation(developer[Tarsier Studios], rating[good], platforms[PlayStation])",What do you think it is about the PlayStation games developed by Tarsier Studios that makes them fun to play?
"request_explanation(rating[average], genres[driving/racing, simulation], player_perspective[first person])",Why do you find first person driving/racing simulators to be just okay?
"request_explanation(rating[good], genres[driving/racing, simulation, sport], player_perspective[third person])",Why do you like a third person perspective in sport racing simulators?
"request_explanation(esrb[E (for Everyone)], rating[average], genres[action, strategy])",Why do you think that E rated action strategy games tend to be merely okay in your view?
"request_explanation(rating[excellent], genres[action-adventure, shooter], player_perspective[third person])","If you don't mind me asking, why are third person action-adventure shooters some of your favorite games of all time?"
"request_explanation(rating[excellent], player_perspective[third person], available_on_steam[yes])",Can you tell me why you have such a strong preference for third person perspective games available on Steam?
"request_explanation(rating[average], genres[sport], player_perspective[third person])",Why is it that you feel third person sports games are overall just average?
"suggest(name[Max Payne], release_year[2001], developer[Remedy Entertainment])","Do you enjoy games from 2001, like Remedy Entertainment's Max Payne?"
"suggest(name[BioShock], esrb[M (for Mature)], platforms[PC])","If you don't mind me asking, do you play M rated games for the PC, such as BioShock?"
"suggest(name[Tony Hawk's Pro Skater 3], esrb[T (for Teen)], has_multiplayer[yes])",Are you a fan of multiplayer teen games like Tony Hawk's Pro Skater 3?
"suggest(name[Metro 2033], genres[action, role-playing, shooter], has_multiplayer[no])","Do you enjoy role-playing action shooter games that have no multiplayer option, such as Metro 2033?"
"suggest(name[Worms: Reloaded], developer[Team17 Digital Ltd], available_on_steam[yes])","Have you played any of Team17 Digital Ltd's lineup of games on Steam, such as Worms: Reloaded?"
"suggest(name[The Witcher 3: Wild Hunt], release_year[2015], esrb[M (for Mature)])",How do you feel about M rated games from 2015 like The Witcher 3: Wild Hunt?
"suggest(name[Metro 2033], release_year[2010], platforms[Xbox])","I'm wondering, have you played any 2010 Xbox games, like for example Metro 2033?"
"suggest(name[Bus Driver], release_year[2014], genres[driving/racing, indie, simulation])",Did you enjoy playing the 2014 indie racing simulator Bus Driver?
"suggest(name[Might & Magic: Heroes VI], developer[Black Hole Entertainment])","Tell me, have you tried any games from Black Hole Entertainment, like that Might & Magic: Heroes VI?"
