mr,ref
"inform(name[MotorStorm: Apocalypse], release_year[2011], genres[vehicular combat], player_perspective[third person], has_multiplayer[yes], platforms[PlayStation])","If you have a PlayStation and enjoy vehicular combat games that you can play mutiplayer with friends, you should try MotorStorm: Apocalypse. The game came out in 2011 and is played with third person perspective."
"inform(name[Ori and the Blind Forest], developer[Moon Studios], rating[excellent], genres[adventure, platformer, puzzle], has_multiplayer[no])","Ori and the Blind Forest by Moon Studios is a single-player adventure, puzzle platformer. It has excellent ratings."
"inform(name[Small World 2], release_year[2010], developer[Days of Wonder], genres[indie, trivia/board game], has_multiplayer[yes])",Small World 2 is an indie trivia/board game that was developed by Days Of Wonder in 2010. It's a multiplayer game.
"inform(name[Euro Truck Simulator], release_year[2008], rating[poor], genres[driving/racing, simulation], player_perspective[first person], platforms[PC], available_on_steam[yes])","Euro Truck Simulator is a poor driving simulator from a first person perspective. The game came out in 2008, and is only available on PC. You can, of course, get it on Steam."
"inform(name[Might & Magic: Heroes VI], release_year[2011], genres[role-playing, turn-based strategy], platforms[PC], has_linux_release[no], has_mac_release[no])","Might & Magic: Heroes VI was released for the PC in 2011, but not for Linux or Mac. It's a role-playing turn-based strategy game."
"inform(name[Mirror's Edge Catalyst], release_year[2016], developer[EA Digital Illusions CE], esrb[T (for Teen)], rating[average], genres[action-adventure, fighting], player_perspective[first person])",Mirror's Edge Catalyst by EA Digital Illusions CE is from 2016. It is an average action-adventure fighting game rated T (for Teen) and has first person view.
"inform(name[Skyforge], rating[poor], genres[adventure, hack-and-slash, MMORPG], player_perspective[third person], platforms[PlayStation, Xbox, PC], has_linux_release[no], has_mac_release[no])","Skyforge is a poor third person hack-and-slash adventure MMORPG. The game was released for PlayStation, Xbox and PC, but does not have a Linux or Mac release."
"inform(name[Mafia], release_year[2002], esrb[M (for Mature)], rating[excellent], genres[driving/racing, fighting, shooter], player_perspective[third person])","In 2002 an excellent game called Mafia was released. It is a third person shooting, fighting and driving game. It is an adult game that's rated M (for Mature)."
"inform(name[Ori and the Blind Forest], release_year[2015], genres[adventure, platformer, puzzle], platforms[Xbox, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","The 2015 game Ori and the Blind Forest is an adventure puzzle platformer. It can be played on Xbox and your PC. It isn't available on Linux or Mac, but it was released on Steam."
"inform(name[Tony Hawk's Pro Skater 3], rating[average], genres[sport], platforms[PlayStation, Xbox, Nintendo, PC], has_linux_release[no], has_mac_release[yes])","Tony Hawk's Pro Skater 3 is a sports game developed for PlayStation, Xbox, Nintendo, and PC. The game was released to average critical reception. The game is currently available on major platforms including Mac, with no Linux release."
"inform(name[Rocket League], genres[sport, vehicular combat], player_perspective[third person], platforms[PlayStation, Xbox, Nintendo Switch, PC], has_linux_release[yes], has_mac_release[yes])","Rocket League is a third person vehicular combat sports game released for PlayStation, Xbox, Nintendo Switch, PC, Linux, and Mac."
"inform(name[Battlefield V], exp_release_date[October 16, 2018], genres[action, shooter], player_perspective[first person], has_multiplayer[yes])","Battlefield V is an action first person shooter that came out October 16, 2018. You can play this game multiplayer if you choose."
"inform(name[The Witcher 3: Wild Hunt], release_year[2015], rating[excellent], genres[action-adventure, role-playing], has_multiplayer[no], platforms[PlayStation, Xbox, PC], available_on_steam[yes])","The Witcher 3: Wild Hunt is an excellent action-adventure RPG that came out in 2015 for PlayStation, Xbox, and PC. This game is available on Steam and has no multiplayer mode."
"inform(name[Life is Strange], rating[good], genres[role-playing], player_perspective[third person])",Life is Strange is a third person role-playing game with mostly positive ratings.
"inform(name[Skyforge], rating[poor], genres[adventure, hack-and-slash, MMORPG], platforms[PlayStation, Xbox, PC], has_linux_release[no], has_mac_release[no])","Skyforge is an adventure hack-and-slash MMORPG that received poor ratings from players. The game is available on PlayStation, Xbox, and PC with no Linux or Mac release."
"inform(name[Transport Tycoon], release_year[1994], esrb[E (for Everyone)], rating[average], genres[simulation, strategy])",Transport Tycoon was released in 1994 with an E rating. It received average reviews for the sim strategy genre.
"inform(name[Payday 2], release_year[2013], rating[average], genres[role-playing, shooter], player_perspective[first person], platforms[PlayStation, Xbox, Nintendo Switch, PC], has_linux_release[no], has_mac_release[no])","Payday 2 was released in 2013. It's an average role-playing shooter that you play in first person. It is available for PlayStation, Xbox, Nintendo Switch, and PC, but was not released for Linux or Mac."
"inform(name[Small World 2], developer[Days of Wonder], genres[indie, trivia/board game], has_multiplayer[yes])","The indie trivia/board game, Small World 2, by the developer Days of Wonder, can be played multiplayer with your friends."
"inform(name[Metro 2033], genres[action, role-playing, shooter], has_multiplayer[no])",Metro 2033 was an action role-playing shooter game but didn't have multiplayer.
"inform(name[Quantum Break], rating[average], genres[adventure, shooter], player_perspective[third person])",Quantum Break is a third person adventure shooter with average likeability.
"inform(name[Sid Meier's Civilization V], developer[Firaxis Games], genres[simulation, turn-based strategy], player_perspective[bird view])",Sid Meier's Civilization V is a turn-based simulation strategy played in bird view perspective. It was developed by Firaxis Games.
"inform(name[Need for Speed: Shift], release_year[2009], developer[Slightly Mad Studios], rating[average], genres[driving/racing, simulation], player_perspective[first person, third person])","The 2009 game, Need for Speed: Shift, is a rather average game for a racing simulator. It allows you to drive with a first or third person perspective, according to your preference. It's a game by Slightly Mad Studios."
"inform(name[Need for Speed: Payback], release_year[2017], developer[Ghost Games], esrb[T (for Teen)], rating[poor], genres[driving/racing])","Ghost Games released Need for Speed: Payback, a racing game, in 2017. It has poor ratings and a T rating."
"inform(name[The Wolf Among Us], release_year[2013], developer[Telltale Games], rating[good], genres[adventure, point-and-click], player_perspective[third person])",Telltale Games also made The Wolf Among Us in 2013. It's a good third person point-and-click adventure game.
"inform(name[Final Fantasy VII], release_year[1997], rating[excellent], genres[adventure, role-playing], platforms[PlayStation, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","Final Fantasy VII is an excellent adventure role-playing game from 1997. You can play the game on PlayStation or PC, and you can get it on Steam too. Linux and Mac systems are not supported."
"inform(name[Mafia], genres[driving/racing, fighting, shooter], platforms[PlayStation, Xbox, PC])","Mafia was released on PC, PlayStation, and Xbox. As a game about a mob footsoldier, it was built on fighting, shooting, and driving (Sometimes in competitive races)."
"inform(name[Dance Dance Revolution Universe 3], developer[Konami], rating[poor], genres[music], platforms[Xbox])","The music game, Dance Dance Revolution Universe 3 has a poor rating and was produced by Konami. It's an Xbox exclusive."
"inform(name[Worms: Reloaded], release_year[2010], developer[Team17 Digital Ltd], esrb[E 10+ (for Everyone 10 and Older)], rating[average], genres[action, platformer, strategy], player_perspective[side view], has_multiplayer[yes])","Worms: Reloaded is an action platforming strategy from 2010. Developed by Team17 Digital Ltd, it received average ratings. It is rated E 10+ (for Everyone 10 and Older). You play this from a side view perspective, and there is a multiplayer mode available."
"inform(name[Age of Empires II: The Age of Kings], release_year[1999], genres[real-time strategy], player_perspective[bird view], has_multiplayer[yes])",Age of Empires II: The Age of Kings is a 1999-released real-time strategy game set in bird view. It has a multiplayer mode.
"inform(name[Tomb Raider: The Angel of Darkness], developer[Core Design], genres[action-adventure, shooter], player_perspective[third person], platforms[PlayStation, PC], has_linux_release[no], has_mac_release[yes])","If you want a third person action-adventure shooter, try Tomb Raider: The Angel of Darkness, developed by Core Design. You can get it on PlayStation and PC. There is a Mac release, but not Linux."
"inform(name[The Elder Scrolls Online], release_year[2014], developer[ZeniMax Online Studios], genres[MMORPG])",The Elder Scrolls Online is an MMORPG developed by ZeniMax Online Studios and released in 2014.
"inform(name[Need for Speed: The Run], release_year[2011], developer[Firebrand Games], genres[driving/racing], player_perspective[first person, third person])",Need for Speed: The Run by Firebrand Games is a first and third person driving/racing game that came out in 2011.
"inform(name[The Sims], release_year[2000], esrb[T (for Teen)], genres[simulation, strategy], player_perspective[bird view], has_multiplayer[no])",The Sims is a strategy simulator with a bird view released in 2000 with a T rating. It has no multiplayer.
"inform(name[Assetto Corsa], developer[Kunos Simulazioni], rating[good], genres[driving/racing, simulation, sport], player_perspective[first person, third person])",Assetto Corsa is a sport racing simulation game with both first and third person perspectives. This game developed by Kunos Simulazioni has an overall good rating.
"inform(name[Uncharted 4: A Thief's End], developer[Naughty Dog], rating[excellent], genres[action-adventure, shooter], player_perspective[third person], platforms[PlayStation])","Uncharted 4: A Thief's End is an excellent third person, action-adventure shooting game. It was developed by Naughty Dog and exclusively released on the PlayStation."
"inform(name[The Elder Scrolls Online], developer[ZeniMax Online Studios], esrb[M (for Mature)], genres[MMORPG], player_perspective[first person, third person], platforms[PlayStation, Xbox, PC], has_linux_release[no], has_mac_release[yes])","The Elder Scrolls Online is a first and third person MMORPG released by ZeniMax Online Studios. This game was released for PlayStation, Xbox, and PC, and is rated M (for Mature). It has a Mac release, but not one for Linux."
"inform(name[Small World 2], developer[Days of Wonder], genres[indie, trivia/board game], has_multiplayer[yes], platforms[PC], available_on_steam[yes])",Small World 2 is a multiplayer trivia/board game available on Steam for PC. It was released by the indie developer Days of Wonder.
"inform(name[Shadow of the Tomb Raider], exp_release_date[September 14, 2018], developer[Eidos Montréal], genres[adventure, shooter], platforms[PlayStation, Xbox, PC])","Shadow of the Tomb Raider is an adventure shooter developed by Eidos Montréal. This game is expected to come out September 14, 2018 for PlayStation, Xbox, and PC."
"inform(name[TrackMania Turbo], rating[good], genres[arcade, driving/racing], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","If you like arcade driving/racing games, try out TrackMania Turbo. It has received good ratings and is available on PlayStation, Xbox, and PC. You can find it on Steam, but there is no Linux or Mac release."
"inform(name[The Sims], release_year[2000], rating[good], genres[simulation, strategy], player_perspective[bird view], has_multiplayer[no])","The Sims is a simulation strategy game with a bird's eye view. Originally released in 2000, the game received positive reviews from players despite its lack of multiplayer."
"inform(name[World of Warcraft], release_year[2004], developer[Blizzard Entertainment], esrb[T (for Teen)], rating[good], genres[adventure, MMORPG])",World of Warcraft is an adventure MMORPG made by Blizzard Entertainment. It came out in 2004 and is rated T (for Teen). It generally has good ratings.
"inform(name[Layers of Fear], release_year[2015], genres[adventure, indie, point-and-click], player_perspective[first person], has_multiplayer[no], platforms[PlayStation, Xbox, Nintendo Switch, PC], available_on_steam[yes])","Layers of Fear is a adventure, indie, point-and-click game released in 2015 on the PlayStation, Xbox, Nintendo Switch, and PC. It is available for download on Steam. It is in the first person perspective and does not have multiplayer."
"inform(name[Tomb Raider: The Angel of Darkness], release_year[2003], genres[action-adventure, shooter], player_perspective[third person], has_multiplayer[no], platforms[PlayStation, PC], has_linux_release[no], has_mac_release[yes])","Tomb Raider: The Angel of Darkness is a third person action-adventure shooter released for PlayStation and PC. The single-player game was released in 2003. The game does have a Mac release, but does not offer a release for Linux."
"inform(name[World of Warcraft: Battle for Azeroth], exp_release_date[August 14, 2018], genres[MMORPG], platforms[PC])","World of Warcraft: Battle for Azeroth is an MMORPG to be released August 14, 2018 as a PC exclusive game."
"inform(name[BioShock], release_year[2007], rating[good], genres[action-adventure, role-playing, shooter], player_perspective[first person])",BioShock is a good action-adventure role-playing game that came out in 2007 and is a first person shooter.
"inform(name[NHL 15], esrb[E 10+ (for Everyone 10 and Older)], genres[simulation, sport], player_perspective[bird view], has_multiplayer[yes], platforms[PlayStation, Xbox])","The sport simulation game, NHL 15, is developed for PlayStation and Xbox only, and rated E 10+ (for Everyone 10 and Older). It is played from a bird view perspective and has multiplayer."
"inform(name[Uncharted 4: A Thief's End], developer[Naughty Dog], rating[excellent], genres[action-adventure, shooter], player_perspective[third person])",Uncharted 4: A Thief's End by Naughty Dog is an excellent third person action-adventure shooter.
"inform(name[Mafia], genres[driving/racing, fighting, shooter], platforms[PlayStation, Xbox, PC])","Mafia is driving/racing, fighting, shooter game released on the PlayStation, Xbox, and PC."
"inform(name[Transport Tycoon], rating[average], genres[simulation, strategy], player_perspective[bird view], has_multiplayer[no])","The bird view simulation strategy game, Transport Tycoon, has gotten average ratings. Unfortunately, there is no multiplayer mode in the game."
"inform(name[Never Alone], genres[adventure, indie, platformer], player_perspective[side view])","Let's play Never Alone, it's an indie adventure-platformer with a side view perspective."
"inform(name[Trivial Pursuit], release_year[2009], genres[trivia/board game])","In 2009, Trivial Pursuit was released for those who love trivia or board games."
"inform(name[Tetris], release_year[1986], developer[Spectrum HoloByte, Inc], genres[arcade, puzzle, strategy])","Tetris by Spectrum HoloByte, Inc is an arcade puzzle-strategy game from 1986."
"inform(name[Sid Meier's Civilization V], release_year[2010], genres[simulation, turn-based strategy], platforms[PC], available_on_steam[yes], has_linux_release[yes], has_mac_release[yes])",Sid Meier's Civilization V is a simulation and turn-based strategy game. It was released in 2010 and is a PC game. It will be available on Steam and has a Linux and Mac release.
"inform(name[Might & Magic: Heroes VI], genres[role-playing, turn-based strategy], player_perspective[bird view], has_multiplayer[yes])","Might & Magic: Heroes VI is a turn-based strategy, role-playing game that has a bird view perspective and a multiplayer."
"inform(name[Final Fantasy VII], rating[excellent], genres[adventure, role-playing], player_perspective[bird view, third person], platforms[PlayStation, PC], available_on_steam[yes])","An excellent adventure RPG you can play from either a bird's eye view or in third person is Final Fantasy VII. It's available on Steam for PC, and you can play it on your PlayStation too."
"inform(name[Tom Clancy's Splinter Cell: Chaos Theory], developer[Ubisoft Montreal], rating[good], genres[action, tactical], platforms[PlayStation, Xbox, Nintendo, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","Tom Clancy's Splinter Cell: Chaos Theory is a tactical, action game available on PlayStation, Xbox, Nintendo, and PC. Overall it's a good game made by Ubisoft Montreal and is available on Steam, but it doesn't have a Linux or Mac release."
"inform(name[Trivial Pursuit], release_year[2009], developer[Electronic Arts], genres[trivia/board game], has_multiplayer[yes], platforms[PlayStation, Nintendo])","Trivial Pursuit was released in 2009 by Electronic Arts. It's a trivia/board game type game, that you can play in multiplayer mode. It's available for PlayStation and Nintendo."
"inform(name[Metal Gear Solid 3: Snake Eater], release_year[2004], rating[excellent], genres[action-adventure, shooter, tactical], has_multiplayer[no], platforms[PlayStation])",Metal Gear Solid 3: Snake Eater is an excellent action-adventure tactical shooter that was released in 2004 for PlayStation. It does not have multiplayer.
"inform(name[StarCraft], esrb[T (for Teen)], genres[real-time strategy], player_perspective[bird view], platforms[PC], has_linux_release[no], has_mac_release[yes])","StarCraft is a real-time strategy game that is rated T (for Teen). It is played from a bird view perspective. You can play this on PC and Mac, but it is not available for Linux."
"inform(name[The Elder Scrolls V: Skyrim], rating[good], genres[adventure, role-playing], player_perspective[first person, third person], platforms[PlayStation, Xbox, Nintendo, PC], available_on_steam[yes])","The Elder Scrolls V: Skyrim is a good first and third person role-playing adventure game. It runs on PlayStation, Xbox, Nintendo, and PC, and it is available on Steam."
"inform(name[Age of Empires II: The Age of Kings], release_year[1999], rating[good], genres[real-time strategy], player_perspective[bird view], has_multiplayer[yes], platforms[PlayStation, PC], available_on_steam[no])","Age of Empires II: The Age of Kings is a 1999 real-time strategy game with good ratings. It has multiplayer, and gives the player a bird's eye perspective. It's available on PlayStation and PC, but is not on Steam."
"inform(name[Uncharted 4: A Thief's End], release_year[2016], rating[excellent], genres[action-adventure, shooter], platforms[PlayStation])",Uncharted 4: A Thief's End is an excellent action-adventure shooter. It was out for PlayStation in 2016.
"inform(name[The Legend of Zelda: Ocarina of Time], release_year[1998], rating[excellent], genres[action-adventure, puzzle, role-playing], player_perspective[bird view, third person], platforms[Nintendo])","If you want to play a great action-adventure role-playing game with puzzle solving, and you haven't played The Legend of Zelda: Ocarina of Time yet, you really should. It was released in 1998 for Nintendo consoles only. The camera swaps between a third person view and a bird view."
"inform(name[Crysis], release_year[2007], genres[action-adventure, shooter], player_perspective[first person], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","Crysis is a 2007 action-adventure, first person shooter on PlayStation, Xbox, PC, and Steam. It's currently not supported on Linux or Mac."
"inform(name[Superhot], release_year[2016], genres[indie, shooter, tactical], player_perspective[first person], has_multiplayer[no])","Superhot, from 2016, is an indie tactical FPS. The game, however, has no multiplayer."
"inform(name[Metal Gear Solid 3: Snake Eater], release_year[2004], rating[excellent], genres[action-adventure, shooter, tactical], has_multiplayer[no], platforms[PlayStation])",Metal Gear Solid 3: Snake Eater is a fantastic tactical action-adventure shooter with a single-player campaign. It originally launched as a PlayStation exclusive in 2004.
"inform(name[Ancient Cities], exp_release_date[December 1, 2018], genres[simulation, strategy], player_perspective[bird view])","Ancient Cities, a bird view perspective simulation strategy game, is set to be released on December 1, 2018."
"inform(name[Assetto Corsa], rating[good], genres[driving/racing, simulation, sport], player_perspective[first person, third person], has_multiplayer[yes])","Assetto Corsa is a good racing simulator. You can drive your car from first or third person view, and if you want a good multiplayer sport racing game, I'd recommend it."
"inform(name[Rollcage], genres[action, driving/racing], player_perspective[third person])",Rollcage will have you racing through an action narrative in the third person.
"inform(name[Driver], release_year[1999], rating[average], genres[driving/racing, simulation])",Driver is a driving/racing simulator released in 1999 to average reviews.
"inform(name[Little Big Adventure], release_year[1994], developer[Adeline Software International], esrb[T (for Teen)], rating[average], genres[action-adventure], player_perspective[third person], has_multiplayer[no])",An average-rated action-adventure game from 1994 is Little Big Adventure. It was released by Adeline Software International and has a T (for Teen) rating. It's a third person perspective game with no multiplayer.
"inform(name[The Forest of Doom], rating[average], genres[role-playing, text adventure], platforms[PC], has_linux_release[yes], has_mac_release[yes])","The Forest of Doom is a role-playing text adventure game for PC only, with a Linux and Mac release too. If you enjoy such games, you might find this one pretty decent."
"inform(name[Madden NFL 15], release_year[2014], genres[simulation, sport], player_perspective[bird view, third person], has_multiplayer[yes], platforms[PlayStation, Xbox])",A multiplayer sports sim from 2014 is Madden NFL 15. You can play on PlayStation and Xbox with your friends in multiplayer using a third person bird view.
"inform(name[Max Payne], release_year[2001], developer[Remedy Entertainment], esrb[M (for Mature)], rating[good], genres[action-adventure, shooter], platforms[PlayStation, Xbox, PC])","Max Payne is a good action-adventure shooter that came out in 2001. It was developed by Remedy Entertainment for PlayStation, Xbox, and PC. Its mature themes earned it an M (for Mature) rating."
"inform(name[Tom Clancy's The Division], esrb[M (for Mature)], genres[role-playing, shooter, tactical])","The tactical shooter game, Tom Clancy's The Division, has a role-playing scheme and is rated M (for Mature)."
"inform(name[Horizon: Zero Dawn], release_year[2017], developer[Guerrilla Games], genres[action-adventure, role-playing, shooter], player_perspective[third person], platforms[PlayStation])","The developer Guerrilla Games released Horizon: Zero Dawn in 2017. It is on the PlayStation platform and is a third person action-adventure, role-playing, shooter."
"inform(name[Quantum Break], release_year[2016], developer[Remedy Entertainment], rating[average], genres[adventure, shooter], player_perspective[third person])","Quantum Break is considered an average third person shooter, an adventure game developed by Remedy Entertainment and released in 2016."
"inform(name[NBA 2K19], exp_release_date[September 11, 2018], genres[sport], platforms[PlayStation, Xbox, Nintendo Switch, PC])","NBA 2K19 is a new sports game expected to be released on September 11, 2018, and will be available on all the major platforms, such as PlayStation, Xbox, Nintendo Switch, and PC."
"inform(name[Metal Gear Solid 3: Snake Eater], release_year[2004], esrb[M (for Mature)], rating[excellent], genres[action-adventure, shooter, tactical], player_perspective[bird view, first person, third person], has_multiplayer[no])","If you like action-adventure tactical shooter games, then you should try the 2004 video game called Metal Gear Solid 3: Snake Eater that uses the first person, third person, and bird view perspectives. Unfortunately, it does not have multiplayer. It has an excellent rating and is rated M (for Mature)."
"inform(name[Assetto Corsa], release_year[2014], genres[driving/racing, simulation, sport], player_perspective[first person, third person])",Assetto Corsa is a 2014 sport racing sim with first and third person perspectives.
"inform(name[Bus Driver], release_year[2014], esrb[E (for Everyone)], genres[driving/racing, indie, simulation], platforms[PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","Bus Driver is an indie driving simulator that came out in 2014. It can be played on PC, and, though it doesn't have a Mac or a Linux release, it's available on Steam. It is rated E (for Everyone)."
"inform(name[TrackMania Turbo], release_year[2016], developer[Nadeo], rating[good], genres[arcade, driving/racing], player_perspective[first person, third person], has_multiplayer[yes])",TrackMania Turbo from 2016 is a good arcade driving game that has multiplayer. This Nadeo game has first and third person views.
"inform(name[Call of Duty: Advanced Warfare], release_year[2014], developer[Sledgehammer Games], genres[action, shooter], player_perspective[first person])",Call of Duty: Advanced Warfare is a first person action shooter. It was developed by Sledgehammer Games and released in 2014.
"inform(name[The Last of Us], release_year[2013], esrb[M (for Mature)], rating[excellent], genres[action-adventure, shooter], player_perspective[third person], has_multiplayer[yes], platforms[PlayStation])","The Last of Us is an excellent action-adventure shooter game that is rated M (for Mature) and came out in 2013 for PlayStation. The game is in the third person, and you can play it multiplayer with other people."
"inform(name[The Elder Scrolls V: Skyrim], release_year[2011], esrb[M (for Mature)], genres[adventure, role-playing])",The Elder Scrolls V: Skyrim is a mature adventure RPG from 2011.
"inform(name[Super Mario World], release_year[1990], rating[excellent], genres[platformer], player_perspective[side view], platforms[Nintendo])","Super Mario World came out in 1990. It's an excellent platformer game from Nintendo, and you play with a side view."
"inform(name[Alan Wake's American Nightmare], release_year[2012], rating[poor], genres[action-adventure, shooter], platforms[Xbox, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])",Alan Wake's American Nightmare came out in 2012 to poor reviews. This action-adventure shooter is on Xbox and PC through Steam. There's no Linux or Mac support.
"inform(name[Mirror's Edge Catalyst], release_year[2016], developer[EA Digital Illusions CE], esrb[T (for Teen)], rating[average], genres[action-adventure, fighting], player_perspective[first person])","Mirror's Edge Catalyst was released in 2016 by EA Digital Illusions CE. It is an okay T-rated action-adventure game that uses fighting style for the platforming gameplay, presented entirely from a first person perspective."
"inform(name[NHL 15], developer[EA Canada], esrb[E 10+ (for Everyone 10 and Older)], rating[average], genres[simulation, sport], player_perspective[bird view], has_multiplayer[yes], platforms[PlayStation, Xbox])",NHL 15 is an average sport simulation game by EA Canada for PlayStation and Xbox only. It's rated E 10+ (for Everyone 10 and Older). This game is played from the bird view perspective and can be played multiplayer.
"inform(name[Small World 2], rating[poor], genres[indie, trivia/board game], platforms[PC], has_linux_release[yes], has_mac_release[yes])","Small World 2 is an indie trivia/board game. It was released on PC, Linux, and Mac. It was rated as poor by the users."
"inform(name[Age of Empires II: The Age of Kings], rating[good], genres[real-time strategy], platforms[PlayStation, PC], available_on_steam[no], has_linux_release[no], has_mac_release[yes])","Age of Empires II: The Age of Kings was a good real-time strategy game. It could be played on PlayStation and PC. It was released on Mac, but not Linux or Steam."
"inform(name[Worms: Reloaded], release_year[2010], developer[Team17 Digital Ltd], esrb[E 10+ (for Everyone 10 and Older)], rating[average], genres[action, platformer, strategy], player_perspective[side view], has_multiplayer[yes])","Worms: Reloaded is a strategic side view platformer with a lot of action and a multiplayer mode. It was developed by Team17 Digital Ltd and came out in 2010 with an E 10+ rating, but got only mediocre reviews."
"inform(name[Shadow of the Tomb Raider], exp_release_date[September 14, 2018], genres[adventure, shooter], player_perspective[third person])","Shadow of the Tomb Raider is expected to be released on September 14, 2018. It's a third person adventure-shooter."
"inform(name[The Sims], genres[simulation, strategy], has_multiplayer[no], platforms[PlayStation, Xbox, Nintendo, PC], available_on_steam[no])","Though it isn't available on Steam, The Sims is available on all major gaming platforms, such as PlayStation, Xbox, Nintendo, and PC. It is a simulation strategy game that does not have a multiplayer feature."
"inform(name[Never Alone], release_year[2014], esrb[T (for Teen)], genres[adventure, indie, platformer], platforms[PlayStation, Xbox, PC], has_linux_release[yes], has_mac_release[no])","Never Alone is an adventure, indie, and platformer game. This can be played on a PlayStation, Xbox, PC, and Linux, but not on a Mac. The rating for this 2014 game is T (for Teen)."
"inform(name[Metal Gear Solid 3: Snake Eater], release_year[2004], esrb[M (for Mature)], genres[action-adventure, shooter, tactical], has_multiplayer[no])",Metal Gear Solid 3: Snake Eater came out in 2004 as a single-player game only. It's a tactical shooter rated M (for Mature) with a lot of action and adventure.
"inform(name[Age of Wonders II: The Wizard's Throne], release_year[2002], rating[poor], genres[role-playing, turn-based strategy])","If you like role-playing games, Age of Wonders II: The Wizard's Throne is a turn-based strategy game from 2002. It has poor ratings."
"inform(name[Dance Dance Revolution Universe 3], rating[poor], genres[music], has_multiplayer[yes], platforms[Xbox])","Dance Dance Revolution Universe 3 is a multiplayer music game release for Xbox. While featuring multiplayer, the game was received poorly by critics."
"inform(name[Uncharted 4: A Thief's End], developer[Naughty Dog], rating[excellent], genres[action-adventure, shooter], player_perspective[third person], platforms[PlayStation])",Uncharted 4: A Thief's End was developed by Naughty Dog. It's an excellent action-adventure shooter game that you play from the third person perspective. You can get it for PlayStation only.
"inform(name[Tom Clancy's Splinter Cell: Chaos Theory], developer[Ubisoft Montreal], rating[good], genres[action, tactical], platforms[PlayStation, Xbox, Nintendo, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","Tom Clancy's Splinter Cell: Chaos Theory by Ubisoft Montreal is a good action tactical game available on Steam. You can get it for PlayStation, Xbox, Nintendo and PC, but not Linux or Mac."
"inform(name[Need for Speed: Shift], developer[Slightly Mad Studios], esrb[E (for Everyone)], genres[driving/racing, simulation], player_perspective[first person, third person], has_multiplayer[yes])","Need for Speed: Shift was developed by Slightly Mad Studios, and was released with an E (for Everyone) rating. It's a driving/racing simulation game. It has a multiplayer option, and can be played in either first person, or third person."
"inform(name[Metroid Prime Pinball], esrb[E (for Everyone)], genres[pinball, puzzle])",Metroid Prime Pinball is a pinball puzzle game rated E.
"inform(name[FIFA 12], developer[EA Canada], rating[average], genres[simulation, sport], player_perspective[bird view, side view])",FIFA 12 is a sport simulation game with both bird view and side view perspectives. It has received average ratings and was developed by EA Canada.
"inform(name[Need for Speed: The Run], release_year[2011], developer[Firebrand Games], genres[driving/racing], player_perspective[first person, third person])",Need for Speed: The Run is a racing game from Firebrand Games released on 2011. You can drive in a first person and third person perspective.
"inform(name[Guitar Hero: Smash Hits], genres[music], player_perspective[first person], has_multiplayer[yes])","Guitar Hero: Smash Hits is a music game that lets you play in a first person perspective. It even has multiplayer, so you can play with your friends."
"inform(name[Metroid Prime Pinball], developer[Fuse Games], esrb[E (for Everyone)], rating[average], genres[pinball, puzzle], platforms[Nintendo])",Metroid Prime Pinball is an average pinball game by Fuse Games that is rated E (for everyone). This puzzle game is only available for Nintendo.
"inform(name[The Crew 2], exp_release_date[June 29, 2018], developer[Ivory Tower], genres[driving/racing], player_perspective[third person], has_multiplayer[yes], platforms[PlayStation, Xbox, PC])","The Crew 2 is a third person driving/racing game by Ivory Tower. It has multiplayer and will be available on PlayStation, Xbox, and PC. It will be out on June 29, 2018."
"inform(name[Metro 2033], release_year[2010], genres[action, role-playing, shooter], has_multiplayer[no])","Metro 2033 is a 2010 single-player action, role-playing shooter."
"inform(name[The Witcher 3: Wild Hunt], release_year[2015], rating[excellent], genres[action-adventure, role-playing], has_multiplayer[no], platforms[PlayStation, Xbox, PC], available_on_steam[yes])","The Witcher 3: Wild Hunt is an excellent action-adventure role-playing title despite its lack of multiplayer. The 2015 release of the game made it to PlayStation, Xbox, PC and Steam."
"inform(name[Tomb Raider: The Angel of Darkness], release_year[2003], esrb[T (for Teen)], genres[action-adventure, shooter], player_perspective[third person])",Tomb Raider: The Angel of Darkness is a third person action-adventure shooter that was released in 2003 with a T rating (for Teen).
"inform(name[StarCraft], release_year[1998], rating[good], genres[real-time strategy], player_perspective[bird view], has_multiplayer[yes])",StarCraft was released in 1998 as a real-time strategy played from the bird view perspective. It is a good game and even has a multiplayer mode.
"inform(name[Grand Theft Auto V], release_year[2013], developer[Rockstar North], genres[action-adventure, driving/racing, shooter])","Grand Theft Auto V, developed in 2013 by developer Rockstar North, is an action-adventure driving and shooting game."
"inform(name[SpellForce 3], developer[Grimlore Games], rating[poor], genres[real-time strategy, role-playing], player_perspective[bird view])",SpellForce 3 is a real-time strategy game developed by Grimlore Games. The game incorporates role-playing elements with a bird view and was released to poor critical reception.
